id_programa,nombre_programa,nivel_academico,nombre_facultad,modalidad,jornada
6637,DESARROLLO DE PROCESOS DE MERCADEO,TECNOLOGO,CENTRO AGROINDUSTRIAL Y PESQUERO DE LA COSTA PACIFICA,PRESENCIAL,COMPLETA
6638,PROMOCION DE SEGURIDAD ALIMENTARIA,AUXILIAR,CENTRO DE FORMACION PARA EL DESARROLLO RURAL Y MINERO,PRESENCIAL,COMPLETA
6639,FIGURADO DE HIERRO PARA ESTRUCTURAS DE CONCRETO ARMADO,CURSO ESPECIAL,"CENTRO DE LA INNOVACION, LA TECNOLOGIA Y LOS SERVICIOS",PRESENCIAL,COMPLETA
6640,CCNA DISCOVERY - NETWORKING PARA EL HOGAR Y PEQUEÑAS EMPRESAS,CURSO ESPECIAL,CENTRO NACIONAL COLOMBO ALEMAN,PRESENCIAL,COMPLETA
6641,PRODUCCION PECUARIA.,TECNICO,CENTRO AGROINDUSTRIAL Y FORTALECIMIENTO EMPRESARIAL DE CASANARE,PRESENCIAL,COMPLETA
6642,MANEJO DE VIVEROS,TECNICO,CENTRO INTERNACIONAL DE PRODUCCION LIMPIA - LOPE,PRESENCIAL,COMPLETA
6643,GESTION CONTABLE Y DE INFORMACION FINANCIERA,TECNOLOGO,CENTRO DE GESTION Y DESARROLLO SOSTENIBLE SURCOLOMBIANO,PRESENCIAL,COMPLETA
6644,RECURSOS HUMANOS .,TECNICO,CENTRO AMBIENTAL Y ECOTURISTICO DEL NORORIENTE AMAZONICO,PRESENCIAL,COMPLETA
6645,MANTENIMIENTO DE EQUIPOS DE AIRE ACONDICIONADO Y REFRIGERACION,TECNICO,"CENTRO DE ELECTRICIDAD, ELECTRONICA Y TELECOMUNICACIONES",PRESENCIAL,COMPLETA
6646,IMPLEMENTACION DE SISTEMAS SOLARES FOTOVOLTAICOS AUTONOMOS,CURSO ESPECIAL,CENTRO DE LA TECNOLOGIA DEL DISEÑO Y LA PRODUCTIVIDAD EMPRESARIAL,PRESENCIAL,COMPLETA
6647,TRATAMIENTO PRIMARIO DE RESIDUOS SOLIDOS,CURSO ESPECIAL,"CENTRO DE RECURSOS NATURALES, INDUSTRIA Y BIODIVERSIDAD",PRESENCIAL,COMPLETA
6648,CONTRATACION Y AFILIACION A SEGURIDAD SOCIAL EN EL ENTORNO LABORAL.,CURSO ESPECIAL,CENTRO DE FORMACION TURISTICA GENTE DE MAR Y DE SERVICIOS,VIRTUAL,COMPLETA
6649,GESTION DE MERCADOS,TECNOLOGO,CENTRO DE LOGISTICA Y PROMOCION ECOTURISTICA DEL MAGDALENA,PRESENCIAL,COMPLETA
6650,PRODUCCION AGROPECUARIA,TECNICO,CENTRO PARA LA BIODIVERSIDAD Y EL TURISMO DEL AMAZONAS,PRESENCIAL,COMPLETA
6651,PROCESOS BASICOS DE PANADERIA,CURSO ESPECIAL,CENTRO AGROEMPRESARIAL Y ACUICOLA,PRESENCIAL,COMPLETA
6652,PRODUCCION EQUINA.,TECNICO,CENTRO AGROINDUSTRIAL,PRESENCIAL,COMPLETA
6653,BIOSEGURIDAD,CURSO ESPECIAL,"COMPLEJO TECNOLOGICO AGROINDUSTRIAL, PECUARIO Y TURISTICO",PRESENCIAL,COMPLETA
6654,ACERCAMIENTO A LA METODOLOGIA STEM: QUE ES E IDEAS PARA IMPLEMENTARLA,CURSO ESPECIAL,CENTRO AGROINDUSTRIAL,VIRTUAL,COMPLETA
6655,COMPORTAMIENTO EMPRENDEDOR,CURSO ESPECIAL,CENTRO SUR COLOMBIANO DE LOGISTICA INTERNACIONAL,PRESENCIAL,COMPLETA
6656,INSTALACION DE REDES DE COMPUTADORES .,TECNICO,CENTRO DE GESTION Y DESARROLLO SOSTENIBLE SURCOLOMBIANO,PRESENCIAL,COMPLETA
6657,MANTENIMIENTO DE MAQUINAS DE CONFECCION INDUSTRIAL,TECNICO,"CENTRO DE FORMACION EN DISEÑO, CONFECCION Y MODA.",PRESENCIAL,COMPLETA
6658,CONSTRUCCION EN EDIFICACIONES.,TECNOLOGO,CENTRO INDUSTRIAL Y DEL DESARROLLO TECNOLOGICO,PRESENCIAL,COMPLETA
6659,ANIMACION DIGITAL,TECNOLOGO,CENTRO LATINOAMERICANO DE ESPECIES MENORES,VIRTUAL,COMPLETA
6660,MANEJO EMPRESARIAL DE LA FINCA,TECNICO,COMPLEJO TECNOLOGICO MINERO AGROEMPRESARIAL,PRESENCIAL,COMPLETA
6661,ASESORIA PARA EL USO DE LAS TIC EN LA FORMACION,CURSO ESPECIAL,CENTRO METALMECANICO,VIRTUAL,COMPLETA
6662,COCINA INTERNACIONAL.,CURSO ESPECIAL,CENTRO AGROTURISTICO,VIRTUAL,COMPLETA
