id_estudiante,tipo_iden_est,edad,grupo_edad,genero,estrato,estrato_num,grupo_estrato,origen_geografico,departamento,lugar_expedicion
263,C.C.,31,31+,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
264,C.C.,31,31+,F,2,2.0,BAJO,SAMACÁ,SAMACÁ,SAMACÁ
265,C.C.,28,26-30,F,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
266,C.C.,28,26-30,M,1,1.0,BAJO,GUAMAL,GUAMAL,CASTILLA LA NUEVA
267,C.C.,26,26-30,M,1,1.0,BAJO,VÉLEZ,VÉLEZ,VÉLEZ
268,C.C.,26,26-30,M,2,2.0,BAJO,VILLA DE LEYVA,VILLA,VILLA DE LEYVA
269,T.I.,21,21-25,M,1,1.0,BAJO,ARCABUCO,ARCABUCO,ARCABUCO
270,C.C.,31,31+,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
271,C.C.,23,21-25,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
272,C.C.,28,26-30,F,SIN INFORMACIÓN,,,TUNJA,TUNJA,TUNJA
273,C.C.,30,26-30,M,SIN INFORMACIÓN,,,BOGOTA D.E,BOGOTA,GACHANTIVÁ
274,C.C.,52,31+,F,SIN INFORMACIÓN,,,SAN EDUARDO,SAN,MIRAFLORES
275,C.C.,32,31+,F,SIN INFORMACIÓN,,,PAZ DE RÍO,PAZ,PAZ DE RÍO
276,C.C.,21,21-25,M,2,2.0,BAJO,TAURAMENA,TAURAMENA,TAURAMENA
277,T.I.,21,21-25,M,2,2.0,BAJO,ZIPAQUIRÁ,ZIPAQUIRÁ,VILLANUEVA
278,C.C.,38,31+,M,2,2.0,BAJO,SOGAMOSO,SOGAMOSO,SOGAMOSO
279,C.C.,23,21-25,M,2,2.0,BAJO,CHIQUINQUIRÁ,CHIQUINQUIRÁ,CHIQUINQUIRÁ
280,C.C.,43,31+,M,2,2.0,BAJO,BOGOTÁ D.C.,BOGOTÁ,BOGOTÁ D.C.
281,C.C.,24,21-25,M,2,2.0,BAJO,SOGAMOSO,SOGAMOSO,YOPAL
282,C.C.,21,21-25,M,2,2.0,BAJO,SOGAMOSO,SOGAMOSO,SOGAMOSO
283,C.C.,28,26-30,F,2,2.0,BAJO,YOPAL,YOPAL,YOPAL
284,C.C.,30,26-30,F,SIN INFORMACIÓN,,,TAME,TAME,ACACÍAS
285,C.C.,37,31+,M,SIN INFORMACIÓN,,,SOGAMOSO,SOGAMOSO,SOGAMOSO
286,C.C.,31,31+,F,SIN INFORMACIÓN,,,VILLAVICENCIO,VILLAVICENCIO,ACACÍAS
287,C.C.,38,31+,M,SIN INFORMACIÓN,,,PEREIRA,PEREIRA,PEREIRA
288,C.C.,28,26-30,F,SIN INFORMACIÓN,,,TUNJA,TUNJA,TUNJA
289,C.C.,26,26-30,M,2,2.0,BAJO,SIACHOQUE,SIACHOQUE,SIACHOQUE
290,C.C.,24,21-25,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
291,C.C.,25,21-25,M,SIN INFORMACIÓN,,,LA VEGA,LA,VILLAPINZÓN
292,C.C.,32,31+,M,1,1.0,BAJO,ALBANIA,ALBANIA,ALBANIA
293,C.C.,23,21-25,M,2,2.0,BAJO,BERBEO,BERBEO,BERBEO
294,C.C.,25,21-25,M,2,2.0,BAJO,MONIQUIRÁ,MONIQUIRÁ,MONIQUIRÁ
295,C.C.,29,26-30,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
296,C.C.,23,21-25,F,1,1.0,BAJO,CHIQUINQUIRÁ,CHIQUINQUIRÁ,CHIQUINQUIRÁ
297,C.C.,44,31+,M,1,1.0,BAJO,TUNJA,TUNJA,TUNJA
298,C.C.,29,26-30,M,1,1.0,BAJO,TUNJA,TUNJA,TUNJA
299,C.C.,29,26-30,M,2,2.0,BAJO,QUÍPAMA,QUÍPAMA,BOGOTÁ D.C.
