periodo,nombre_facultad,nombre_programa,jornada,modalidad,nombre_sede,tipo_iden_est,fecha_nacimiento,genero,estrato,nombre_estado,origen_geografico,lugar_expedicion,edad,grupo_edad,periodo_año,periodo_semestre,estrato_num,grupo_estrato,institucion,tipo_desercion,es_desertor
PRIMER  SEMESTRE DE 2021,CIENCIAS,BIOLOGIA,DIURNA,PRESENCIAL,TUNJA,C.C.,1999-02-28,M,3,PERDIO CUPO A130/98 ART. 80 LIT. B,TUNJA,TUNJA,24,21-25,2021.0,1,3.0,MEDIO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,BIOLOGIA,DIURNA,PRESENCIAL,TUNJA,C.C.,2001-05-20,M,3,PERDIO CUPO A130/98 ART. 80 LIT. B,TUNJA,TUNJA,22,21-25,2021.0,1,3.0,MEDIO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,BIOLOGIA,DIURNA,PRESENCIAL,TUNJA,T.I.,2000-12-22,F,1,PERDIO CUPO A130/98 ART. 80 LIT. C,BOGOTÁ D.C.,BOGOTÁ D.C.,23,21-25,2021.0,1,1.0,BAJO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,BIOLOGIA,DIURNA,PRESENCIAL,TUNJA,C.C.,1994-11-23,M,1,PERDIO CUPO A130/98 ART. 80 LIT. D,BOGOTA D.E,SIACHOQUE,29,26-30,2021.0,1,1.0,BAJO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,DIURNA,PRESENCIAL,TUNJA,T.I.,2001-09-10,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C,CHIPATÁ,VÉLEZ,22,21-25,2021.0,1,1.0,BAJO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,DIURNA,PRESENCIAL,TUNJA,T.I.,2002-07-27,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C,TAURAMENA,TAURAMENA,21,21-25,2021.0,1,1.0,BAJO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,DIURNA,PRESENCIAL,TUNJA,C.C.,1999-11-03,F,2,PERDIO CUPO A130/98 ART.80 LIT. E,CHIQUINQUIRÁ,CHIQUINQUIRÁ,24,21-25,2021.0,1,2.0,BAJO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,DIURNA,PRESENCIAL,TUNJA,C.C.,1997-03-03,M,3,PERDIO CUPO A130/98 ART. 80 LIT. C,GIGANTE,TUNJA,26,26-30,2021.0,1,3.0,MEDIO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,DIURNA,PRESENCIAL,TUNJA,C.C.,2001-06-24,F,3,PERDIO CUPO A130/98 ART. 80 LIT. B,TUNJA,TUNJA,22,21-25,2021.0,1,3.0,MEDIO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,DIURNA,PRESENCIAL,TUNJA,C.C.,2000-03-15,M,1,PERDIO CUPO A130/98 ART. 80 LIT. B,VILLANUEVA,VILLANUEVA,23,21-25,2021.0,1,1.0,BAJO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,DIURNA,PRESENCIAL,TUNJA,C.C.,2001-05-23,F,1,PERDIO CUPO A130/98 ART. 80 LIT. B,TUNJA,TUNJA,22,21-25,2021.0,1,1.0,BAJO,UPTC,ACADEMICA,1
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,DIURNA,PRESENCIAL,TUNJA,C.C.,1998-05-18,F,2,PERDIO CUPO A130/98 ART. 80 LIT. C,CHOCONTÁ,CHOCONTÁ,25,21-25,2021.0,1,2.0,BAJO,UPTC,ACADEMICA,1
